id,lang,text,date_time,lat,long
7.75354330018755E+017,es,"Que tengas un excelente arranque de semana!!!
Y no te olvides de dejar #huellas, porque ellas son las que te define… https://t.co/S2q1YKbPt5",2018-11-12 00:03:06,-32.9511,-60.6664
7.5506311098207E+017,es,"D o m i n g o 💜🍃☁️ en Mocoretá, Corrientes, Argentina https://t.co/XZChYHWnTU",2018-11-12 00:06:10,-30.61981,-57.97818
199464393,es,"'reinicia' es ahora una tendencia en #Rosario

https://t.co/jkX2dtTBHQ https://t.co/julgwJoUMI",2018-11-12 00:20:56,-32.9468,-60.6393
2834268929,es,"≈12,5 km (intensidad 8/10, área 8/10)
https://t.co/OSmqKl32QM

(12/11/18 1:25) #Rosario https://t.co/PIMNa7kvsx",2018-11-12 00:25:06,-32.95233,-60.652271
766781046,es,"SIEMPRE ESTOY.....DISPUESTA....PARA AYUDAR A QUIEN ME NECESITE....
JAMAS ME ENOJO...NUNCA NUNCA!!!!!!....NO ME LLEV… https://t.co/PzjP2zoHlN",2018-11-12 00:28:15,-32.4632999,-58.47809
199464393,es,"'goleó' es ahora una tendencia en #Rosario

https://t.co/PKwBSLZiVG https://t.co/UKBePQwley",2018-11-12 00:33:27,-32.9468,-60.6393
210847254,es,"Postal de una ciudad que duerme. en Arroyo Seco, Santa Fe https://t.co/5jxwi9NMki",2018-11-12 00:43:05,-33.15441,-60.50401
1910290052,en,"Welcome to real 👑 en Rosario, Santa Fe https://t.co/xtlxOmXFnE",2018-11-12 01:24:34,-32.9511,-60.6664
2834268929,es,"Precipitación (intensidad 7/10, área 7/10)
https://t.co/OSmqKl32QM

(12/11/18 2:25) #Rosario https://t.co/pEwczLBoe1",2018-11-12 01:25:28,-32.95233,-60.652271
184954398,es,"Arrancando con un poquito de salsa...
#LaVispera🎂 en Distrito Sie7e https://t.co/ZtbEWMT3nX",2018-11-12 01:32:24,-32.941917,-60.66167
244595593,en,"thunderstorm with heavy rain -&gt; moderate rain
humidity up 88% -&gt; 98%
wind 5kmh -&gt; 3kmh",2018-11-12 01:33:54,-31.19,-60.88
7.79324145159008E+017,es,Ahora si re instalado a ver alta peli,2018-11-12 01:44:41,-31.2288798,-59.9827106
245064770,es,"let's listen to the sky.... en Parque España, Rosario https://t.co/aqWCXa8FT1",2018-11-12 02:00:08,-32.93802278,-60.63794204
199464393,es,"'prettiest' es ahora una tendencia en #Rosario

https://t.co/Q78XwdV9tF https://t.co/D1cLflIRCU",2018-11-12 02:02:00,-32.9468,-60.6393
200313710,es,"Lo q falfaba al debate de ""Educacion Sexual Integral"" 😁😁😁😁😁😁 en Tostado, Santa Fe https://t.co/5flLhFygRW",2018-11-12 07:43:29,-29.23275,-61.7719
606096692,es,"Junto a martinselle 
Director de la academiabroadwayok 
Ciudad de Rosario, Pcia. de Santa Fe.
#Octubre #2018!
Graci… https://t.co/0V2CLINuur",2018-11-12 07:43:55,-32.9511,-60.6664
200313710,es,"Solo falta a la poca agua q cayo q salga el sol y nos morimos 😣😣😣😣 en Tostado, Santa Fe https://t.co/8kEFOIf2P2",2018-11-12 07:47:22,-29.23275,-61.7719
2834268929,es,"Precipitación (intensidad 6/10, área 9/10)
https://t.co/OSmqKl32QM

(12/11/18 8:56) #Rosario https://t.co/kPxR3yE6Z6",2018-11-12 07:56:35,-32.95233,-60.652271
54700926,es,😡😇 en Villa Gobernador Gálvez https://t.co/FylZJmxlUN,2018-11-12 08:10:01,-33.02548,-60.62687
3028168929,es,"Comenzando la segunda jornada en el simposionacionaldemaquillaje 💋💄 en Rosario, Santa Fe https://t.co/dY4SjmEqmN",2018-11-12 08:11:36,-32.9511,-60.6664
1498726458,es,"Entrevista a Gabriela Farina directora de ""Rojo Traición"" https://t.co/zVXfKMpDoJ",2018-11-12 08:28:03,-33.9977897,-61.6039043
1498726458,es,"Entrevista a Gabriela Farina directora de ""Rojo Traición"" https://t.co/FCqeontEdQ",2018-11-12 08:28:03,-33.9977897,-61.6039043
1.00798501614255E+018,it,"L 😅
U ⚡
N 🌫
E ☔
S 🌈 en Rosario, Santa Fe https://t.co/8rfmtuBOwT",2018-11-12 08:29:43,-32.9511,-60.6664
9.31173874716349E+017,es,"#cuadrodecorativo de #animales en https://t.co/rlzPJX7jUx #modaparati #cuadros 

#animalesgraciosos… https://t.co/z9EPJnMNV1",2018-11-12 08:36:46,-32.92006,-60.8194
4328919118,es,Lanzamiento para profesionales de Color Insider. #matrixargentina #AgustinPrefasio en Agustin Prefasio https://t.co/3ByKeqOUEN,2018-11-12 08:45:13,-32.9430949,-60.6447368
189996996,es,"Busco mujeres emprendedoras que se quieran sumar a mi equipo de trabajo ...
#trabajodesdecasa #trabajoindependiente… https://t.co/tBAyxywokZ",2018-11-12 08:49:07,-32.9511,-60.6664
269296513,es,Elegancia total 👏👏👏 #eficacia#sencilles#look#moda#tendencias#estilo🔝 Acá en OUI by Lu trabajamos la elegancia 🙌🙌 te… https://t.co/y2ZHOAjePz,2018-11-12 08:52:10,-32.9511,-60.6664
199464393,es,"#lluvia es ahora una tendencia en #Rosario

https://t.co/JrmHkJZNZj https://t.co/ywpcFSHVLT",2018-11-12 08:54:54,-32.9468,-60.6393
3028168929,es,"simposionacionaldemaquillaje 
Segunda jornada en Hotel Ariston, Rosario https://t.co/FkyvetUcKR",2018-11-12 08:54:55,-32.94265599,-60.65790005
2834268929,es,"Precipitación (intensidad 7/10, área 8/10)
https://t.co/OSmqKl32QM

(12/11/18 9:57) #Rosario https://t.co/0HGfmlVdK6",2018-11-12 08:57:15,-32.95233,-60.652271
474939231,es,"🤗😃Buen día 😃🤗
😉Que tengan un excelente comienzo de semana 😉
🌧️🌂☔ Que la lluvia no te pare💪💪💪
🌈 Después de la tormen… https://t.co/WwSPrXyDRv",2018-11-12 08:57:44,-32.9437528,-60.6833485
1.00798501614255E+018,es,"☕ Volvemos a la rutina🙋‍♀️🙋🏼‍♀️🙋🏽‍♀️ ᒪᑌᑎᗴᔕ 🌈 ᒪᑌᑎᗴᔕ 🌈
♡ Blusita Cande, con cuello bebé y lazito atrás.
.
.
.
.
P I N… https://t.co/vzSxQgawkX",2018-11-12 09:09:02,-32.9511,-60.6664
151029901,es,Le doy gracias al destino por cruzarlos en mi camino.... Son lo más lindo que a mi vida Dios le pudo brindar... Gra… https://t.co/qiJuziphpK,2018-11-12 09:10:25,-31.85748,-61.57144
2793197861,es,"😴 en Rosario, Santa Fe https://t.co/gVfFOQyWEb",2018-11-12 09:13:33,-32.9511,-60.6664
7.36177966892343E+017,es,"Restauración de instrumentos de cuerdas pulsadas clásicos y eléctricos.
Calibraciónes modificaciónes y circuiterías… https://t.co/tHEzWhJSkV",2018-11-12 09:15:26,-32.9647821,-60.64228799
2240141714,eu,"🌼 ɪɴsɪᴅᴇ ᴄʜᴀᴏs 🌼
marielbonino solo ella 💖 
.
.
.
MakeUp: @ShuupiGonzalez en San Javier, Santa Fe https://t.co/AOPcNAvSIh",2018-11-12 09:20:29,-30.58112,-59.92808
353709520,es,"// Facheros a morir los jóvenes que me acompañan //
-
-
#casorio #word #muchachos #novio #light #anabel #rosario… https://t.co/7DBEqL2js2",2018-11-12 09:33:02,-32.92612657,-60.74985036
1498726458,es,Diego Milardovich - Trabajo conjunto entre provincia y entidades del agro para optimizar los caminos rurales… https://t.co/3DhfoULDqt,2018-11-12 09:39:36,-33.9977897,-61.6039043
9.18304318826189E+017,es,"Súper original dispenser de bebidas de vidrio con canilla CACTUS.
Capacidad 4 litros. Tapa a Rosca. 
Hay muchos mod… https://t.co/jFSHy9rxWS",2018-11-12 09:40:29,-32.9452403,-60.6753897
1969346822,es,"Acerca de la suspensión #Fdr2018 #fdrwonderland

Si alquilaste disfraz con nosotros:
Tenelo sin cargo. NO tenes que… https://t.co/hcF3DqLm1V",2018-11-12 09:46:14,-32.9364727,-60.6538413
2708887103,es,"💕 en Barrio Belgrano, Santa Fe, Argentina https://t.co/8S9rMSYnCp",2018-11-12 09:46:33,-32.9333,-60.7167
766781046,es,"FELIZ COMIENZO DE SEMANA!! Fuerza, café, sonrisa... y lo demás ya irá viniendo. Feliz lunes!!
Bienvenida lluvia ☔..… https://t.co/xjYnvWSsso",2018-11-12 09:48:18,-32.4632999,-58.47809
163981219,es,"Hoy Grupo de Meditación

⏰21:00hs
🏡 1° de Mayo 1037 - Arroyo Seco
💰Intercambio de $150

Info e Inscripción
📲… https://t.co/npsV63Eo5O",2018-11-12 09:51:06,-33.1588225,-60.50857544
23453328,es,#rodaje #tv #programadecocina #cocinandoideas #federicofoxpeluqueria #peluqueria #maquillaje #maquillajetv… https://t.co/RGUNpfpTwV,2018-11-12 09:57:31,-33.43739,-62.08906
138208231,fr,"Zombie Dog . Characters
.
#zombie #dog #zombiedog #zombies #animals #characters #characterdesign #animation #vector… https://t.co/gINJzlJ3Gm",2018-11-12 09:59:46,-32.9552161,-60.6324664
204348656,es,"🇷🇺 #rusia #iremos en Rosario, Santa Fe https://t.co/diafwRGk2S",2018-11-12 10:00:47,-32.9511,-60.6664
163981219,es,"Hoy Grupo de Meditación ⏰21:00hs
🏡 1° de Mayo 1037 - Arroyo Seco
💰Intercambio de $150

Info e Inscripción
📲… https://t.co/Wxgs65NyNI",2018-11-12 10:00:49,-33.1588225,-60.50857544
2834268929,es,"Precipitación (intensidad 7/10, área 4/10)
https://t.co/OSmqKl32QM

(12/11/18 11:03) #Rosario https://t.co/BDQZd4Lhyc",2018-11-12 10:03:17,-32.95233,-60.652271
3036038123,es,"éste asunto está ahora y para siempre en tus manos, nene. en Villa Elisa, Entre Rios https://t.co/ZodVrYcfho",2018-11-12 10:11:28,-32.15987,-58.40713
128129296,es,"Excelente inicio de semana @ Rosario, Santa Fe https://t.co/iFrpSRciw3",2018-11-12 10:15:12,-32.9511,-60.6664
199464393,es,"'olmedo' es ahora una tendencia en #Rosario

https://t.co/b5PVOn8RQd https://t.co/SXHrRYKHPS",2018-11-12 10:17:59,-32.9468,-60.6393
244595593,en,"light rain -&gt; heavy intensity rain
humidity up 88% -&gt; 100%
wind 5kmh -&gt; 3kmh",2018-11-12 10:21:27,-31.19,-60.88
3028168929,es,"simposionacionaldemaquillaje en Hotel Ariston, Rosario https://t.co/uQWiw8XacL",2018-11-12 10:26:19,-32.94265599,-60.65790005
2960113095,es,Se acerca fin de año y necesitamos sacar fuerzas de dónde no hay..... o la historia de los tres pasos del convencim… https://t.co/3OdpzTZYiI,2018-11-12 10:31:23,-32.9562693,-60.6494622
7.26040118205792E+017,es,"Acá, con mi amigo y compañero de trabajo: el #fideo en Esperanza, Santa Fe https://t.co/HH1hWRUaPB",2018-11-12 10:42:57,-31.44957,-60.92949
88608696,es,"Día de reparaciones, #iphone7plus #apple #repair #sevice #applelover #calltheturkish 👍👳🏻 en Rosario, Santa Fe https://t.co/JFBbOvgo8w",2018-11-12 10:58:09,-32.9511,-60.6664
478971714,es,"En Bagués, ¡tenemos una fragancia que se adapta a vos!
Comprando un Type Poison Girl by Bagués, un Type 212 by Bagu… https://t.co/pBBjUKxvHM",2018-11-12 11:05:18,-30.95557,-58.77955
2834268929,es,"≈3,6 km (intensidad 9/10, área 1/10)
https://t.co/OSmqKl32QM

(12/11/18 12:08) #Rosario https://t.co/Ay7R4IJTvG",2018-11-12 11:08:39,-32.95233,-60.652271
